review_title,Customer name,rating,date,Category,comments,usefulness,processed_comment
Awesome device,RamanJakhar,5.0 out of 5 stars,on 17 September 2018,Others,Top class device... No words!!!, ,top class device words
Quality.,Pankaj kumar,4.0 out of 5 stars,on 1 October 2018,Others,Mobile is good also service of Amazon is better than other like paytm., ,mobile good also service amazon better like paytm
Aswasom,Aniket ,5.0 out of 5 stars,on 19 September 2018,Camera,"I love amezon
Good packing
Good product
Camera battry good", ,love amezon good packing good product camera battry good
Awesome,Parmar kailash,5.0 out of 5 stars,on 23 September 2018,Others,Sup up model in MI thank u .. low price best features available, ,sup model mi thank u low price best features available
Fully satisfied,Mishra Food N Agro,5.0 out of 5 stars,on 22 September 2018,Others,One of the best..... In the price range, ,one best price range
Awesome phone,Amazon Customer,5.0 out of 5 stars,on 19 September 2018,Display,"Phone is good Quality Dual Camera is Very Best
Full display show good dimensions", ,phone good quality dual camera best full display show good dimensions
Desh ka smartphone,Alok,5.0 out of 5 stars,on 18 September 2018,Others,One of the best of my purchases, ,one best purchases
Nice look,Amazon Customer,4.0 out of 5 stars,on 29 September 2018,Display,"Nice look with notch display, but sound is little bit low..", ,nice look notch display sound little bit low
Nice,Pintu rai,4.0 out of 5 stars,on 30 September 2018,Others,Good phone,,good phone
Overall a nice phone,anant vasantrao bhamare,3.0 out of 5 stars,on 23 September 2018,Others,"Sound quality is not so good
Either way the mobile best in its segment",,sound quality good either way mobile best segment
Smart brand.,Amazon Customer,5.0 out of 5 stars,on 24 September 2018,Display,Display is best.,,display best
Waste of money compare another phone,Praveen gurjar,1.0 out of 5 stars,on 1 October 2018,Battery,Sometimes automatically speaker on and little hanging problem camera battery good.,,sometimes automatically speaker little hanging problem camera battery good
Great looking,Tuhin Kundu,5.0 out of 5 stars,on 20 September 2018,Battery,"Picture perfect camera
Great sound
Good battery life
Value for money",,picture perfect camera great sound good battery life value money
Redmi 6 Pro,GKM,5.0 out of 5 stars,on 22 September 2018,Display,"Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for Money.",,best phone notch display battery backup quality rear camera value money
Nice one again from xiomi...,Amazon Customer,5.0 out of 5 stars,on 21 September 2018,Others,Fabulous products by fabulous xiomi,,fabulous products fabulous xiomi
Redmi 6 pro excellent Product,Amazon Customer,5.0 out of 5 stars,on 23 September 2018,Battery,this mobile awesome.... i loved it best battery life and performance...,,mobile awesome loved best battery life performance
Awesome,Deepan,5.0 out of 5 stars,on 19 September 2018,Others,Best to buy...i love it??,,best buy love
5/4.5,manoranjan kumat,5.0 out of 5 stars,on 20 September 2018,Battery,"Battery is good
Phone is good
Camera is good
Praformens is good",,battery good phone good camera good praformens good
Great product,Sonu Bhasker,5.0 out of 5 stars,on 19 September 2018,Delivery,"Very happy with this mobile
Fast delivery got my parcel in just 22 hours",,happy mobile fast delivery got parcel 22 hours
Look like I phn x. ????????????????????,Parvinder singh,5.0 out of 5 stars,on 23 September 2018,Camera,No change in camera quality. Other functions super se v uper... ????????????,,change camera quality functions super se v uper
Wow phone,Ramiz Sayyed,5.0 out of 5 stars,on 18 September 2018,Others,Awesome phone....all features available....m super happy with phone,,awesome phone features available super happy phone
Good,Amazon Customer,5.0 out of 5 stars,on 22 September 2018,Battery,Sound and battery life good,,sound battery life good
Thanks to Amazon,Salman,5.0 out of 5 stars,on 20 September 2018,Others,"Very very nice and budget smartphone good xiaomi

Thanks Amazon",,nice budget smartphone good xiaomi thanks amazon
Awesome phone,GOURAB ROY,5.0 out of 5 stars,on 2 October 2018,Battery,Good mobile.. battery backup good,,good mobile battery backup good
Very good desain,MAHAVIRSINH R JADEJA,3.0 out of 5 stars,on 29 September 2018,Others,Sound qulity not dolby and processor performance not ok.,,sound qulity dolby processor performance ok
Not A camera fone,Amazon Customer,4.0 out of 5 stars,on 29 September 2018,Camera,Looking wise sexy but camera quality is not worth over all good,,looking wise sexy camera quality worth good
Super phone,mahi kumar,5.0 out of 5 stars,on 20 September 2018,Others,This is the best phone mi phone,,best phone mi phone
Ek jakas cellphone,Amazon Customer,5.0 out of 5 stars,on 22 September 2018,Others,"This cellphone is good & economical , more features available",,cellphone good economical features available
Ek jakas cellphone,Amazon Customer,5.0 out of 5 stars,on 22 September 2018,Others,"This cellphone is good & economical , more features available",,cellphone good economical features available
Awesome,Amazon Customer,5.0 out of 5 stars,on 20 September 2018,Others,One of best mobile compare to nokia 6 1 plus,,one best mobile compare nokia 6 1 plus
Redmi 6 pro reviee,Amazon Customer,5.0 out of 5 stars,on 20 September 2018,Display,Display Quality and battery backup is good,,display quality battery backup good
No dual volte,Sunil kumar kulhari,1.0 out of 5 stars,on 30 September 2018,Others,I'm fan MI but No dual volte.. waste of money..,,fan mi dual volte waste money
Product is good,Suman Bag,5.0 out of 5 stars,on 27 September 2018,Battery,"This product is very good, battery backup is very good,",,product good battery backup good
nice phone,Abhinav more,5.0 out of 5 stars,on 21 September 2018,Others,In this budget phone is good and Sound quality is also awesome,,budget phone good sound quality also awesome
Best smartphone,Pradeep kumar,5.0 out of 5 stars,on 1 October 2018,Others,I use this phone and I like all quality,,use phone like quality
Best quality phone,Rehan shaikh ,5.0 out of 5 stars,on 22 September 2018,Others,Best notch light weight phon.,,best notch light weight phon
Looking osm,Amazon Customer,4.0 out of 5 stars,on 28 September 2018,Camera,"Nice product and durability also good..
Best for camera's",,nice product durability also good best camera
Battery,Bilal Ahmed,5.0 out of 5 stars,on 23 September 2018,Others,The Product is Bulky would have bring the weight down,,product bulky would bring weight
Good,P.T.Hanuman,4.0 out of 5 stars,on 26 September 2018,Camera,Camera is good,,camera good
Good,sameer,4.0 out of 5 stars,on 19 September 2018,Others,Good mm??????,,good mm
Good,RAM,4.0 out of 5 stars,on 23 September 2018,Others,I didn't get 500/- discount . Buy through HDFC bank,,get 500 discount buy hdfc bank
Gud Phone,Al Mustaq,5.0 out of 5 stars,on 22 September 2018,Others,Better phone,,better phone
Good,Amazon Customer,5.0 out of 5 stars,on 22 September 2018,Others,Good,,good
Nyc,gaurav kumar,5.0 out of 5 stars,on 23 September 2018,Others,Good,,good
Good,Darshan V,5.0 out of 5 stars,on 27 September 2018,Others,Good,,good
Np,Y2 user,5.0 out of 5 stars,on 18 September 2018,Others,Good phone,,good phone
Sound v acha nhi hai,Md shahab,4.0 out of 5 stars,on 23 September 2018,Camera,Front camera low hai cost jyada hair 9999 take think tha,,front camera low hai cost jyada hair 9999 take think tha
A good product from MI at an affordable price tag.,Amazon Customer,4.0 out of 5 stars,on 30 September 2018,Others,Overall the product build and handling quality is good.,,overall product build handling quality good
Love this product,Deepak kumar,5.0 out of 5 stars,on 18 September 2018,Others,Wonderful phone.....,,wonderful phone
Good,Jay,3.0 out of 5 stars,on 20 September 2018,Others,Low pictures clarity,,low pictures clarity
Good,Uttam singh,5.0 out of 5 stars,on 28 September 2018,Others,Hello,,hello
Very good,Jalindar dhondabare,5.0 out of 5 stars,on 28 September 2018,Others,Good quality,,good quality
Awesome,Upender,5.0 out of 5 stars,on 30 September 2018,Delivery,Fast delivery great,,fast delivery great
Best budget phone,Akash Sharma,5.0 out of 5 stars,on 2 October 2018,Others,This phone is simply awesome in this price range??,,phone simply awesome price range
Superb,Rishad,5.0 out of 5 stars,on 21 September 2018,Others,Good,,good
Good job Amazon,Shashikumar,5.0 out of 5 stars,on 26 September 2018,Others,One of the best phone under 12k.,,one best phone 12k
Value for money,THAMIZH ARASU,4.0 out of 5 stars,on 26 September 2018,Others,Nice mobile in this price range,,nice mobile price range
Good product,Aakash,5.0 out of 5 stars,on 27 September 2018,Others,Awesome product,,awesome product
Average,pradeep k,3.0 out of 5 stars,on 21 September 2018,Others,Average,,average
Excellent.,Mohd Nazeer,5.0 out of 5 stars,on 18 September 2018,Display,Excellent mobile good display quality,,excellent mobile good display quality
Sound speaker is not working,Janardhan,1.0 out of 5 stars,on 22 September 2018,Others,Out of 2 only 1 speaker is working from day 1,,2 1 speaker working day 1
Amazing,Emad choudhury,5.0 out of 5 stars,on 21 September 2018,Delivery,"Value for money...
Dislike late delivery",,value money dislike late delivery
Bad service for return,GAURANG T.Nakarani,1.0 out of 5 stars,on 27 September 2018,Others,Bad facility for replacement,,bad facility replacement
I've fallen in love!,Aahil Asad Ahmad ,5.0 out of 5 stars,on 24 September 2018,Others,I've fallen in love!,,fallen love
Poor,Rishab tripathi,3.0 out of 5 stars,on 30 September 2018,Others,Poor,,poor
Good,Suraj,5.0 out of 5 stars,on 28 September 2018,Others,Good,,good
Not value of money.,Jaydeep Parikh ,1.0 out of 5 stars,on 25 September 2018,Others,worst product ever. don't buy it.,,worst product ever buy
Excellent,Mahesha,5.0 out of 5 stars,on 27 September 2018,Others,"Awesome mobile, value of money...",,awesome mobile value money
Gud,Imtiyaz,5.0 out of 5 stars,on 1 October 2018,Others,Nice phn,,nice phn
battery life good,Hardeep singh,4.0 out of 5 stars,on 22 September 2018,Display,notch. display better,,notch display better
Better bakup osm,Amazon Customer,5.0 out of 5 stars,on 18 September 2018,Others,Nice products ?? . . .,,nice products
waste of money,Rameez Rashid Parray,1.0 out of 5 stars,on 29 September 2018,Others,waste of money,,waste money
Amazing,Ritesh verma,5.0 out of 5 stars,on 23 September 2018,Others,Nice and super mobile,,nice super mobile
best phone in budget,mohammed imroz,5.0 out of 5 stars,on 28 September 2018,Others,awosome phone,,awosome phone
Battery life,Aman Rana,4.0 out of 5 stars,on 25 September 2018,Others,Phone system is nice,,phone system nice
Very nice,Shiva,4.0 out of 5 stars,on 18 September 2018,Others,Mobile is very nice.,,mobile nice
Good,yahoo,5.0 out of 5 stars,on 26 September 2018,Others,Good Product,,good product
Must buy,Amazon Customer,5.0 out of 5 stars,on 21 September 2018,Others,Great phone@,,great phone
Super farfamens,SambasivaraoAmazon Customer,3.0 out of 5 stars,on 29 September 2018,Others,Nice mobaile,,nice mobaile
Amazing,Himanshu,5.0 out of 5 stars,on 21 September 2018,Others,Mind blowing,,mind blowing
Camera,Friends ,5.0 out of 5 stars,on 30 September 2018,Others,Nice product,,nice product
Nice,Arpan patel,5.0 out of 5 stars,on 23 September 2018,Others,Like,,like
.,PRINCE KUMAR GUPTA,4.0 out of 5 stars,on 23 September 2018,Others,Nice,,nice
"Good, very good",Bivash das,5.0 out of 5 stars,on 22 September 2018,Others,Good product Amazon,,good product amazon
Marvellous,Rakesh,5.0 out of 5 stars,on 21 September 2018,Others,It's awesome phone.,,awesome phone
Nice product in cheap price, NANDKISHOR WANARE,5.0 out of 5 stars,on 20 September 2018,Others,I have fall in love,,fall love
Great phone,Buyer,4.0 out of 5 stars,on 21 September 2018,Display,I loved the display,,loved display
Munish gupta,Munish ,3.0 out of 5 stars,on 26 September 2018,Others,All is well,,well
Good work.,Korjani Yogesh,5.0 out of 5 stars,on 2 October 2018,Others,Nice phone.,,nice phone
Value for money,Gajanana Malji,5.0 out of 5 stars,on 23 September 2018,Others,Superb????????????,,superb
Bad video quality,bikash maji,3.0 out of 5 stars,on 24 September 2018,Others,Video screen short,,video screen short
??,sagar kute,4.0 out of 5 stars,on 1 October 2018,Others,??,,
Value for money very good,MOHD AARISH,5.0 out of 5 stars,on 23 September 2018,Others,Very good product,,good product
Mi is best,tarun,5.0 out of 5 stars,on 22 September 2018,Others,Simply Mi ia best,,simply mi ia best
Very good,Raju Dudhawade,5.0 out of 5 stars,on 21 September 2018,Others,Very nice,,nice
Excellent,????? ?????,5.0 out of 5 stars,on 19 September 2018,Others,Excellent,,excellent
No thanks,KAILAS Ramchandra Throat,5.0 out of 5 stars,on 20 September 2018,Others,No thanks,,thanks
Good phone,Danish,5.0 out of 5 stars,on 18 September 2018,Battery,Battery and camera,,battery camera
Gud product,Jyoti thakur,5.0 out of 5 stars,on 19 September 2018,Others,Value for money,,value money
battery,Yaden Wap,5.0 out of 5 stars,on 1 October 2018,Others,daaaaaaaam good,,daaaaaaaam good
Super,Josyula,5.0 out of 5 stars,on 22 September 2018,Others,Value for money,,value money
Coustly,Nasreen,1.0 out of 5 stars,on 27 September 2018,Others,Selfi flesh not,,selfi flesh
"Value for money, must buy",Amazon Customer,5.0 out of 5 stars,on 29 September 2018,Others,Perfect,,perfect
Value of money,Ahir Dipak Ram,4.0 out of 5 stars,on 20 September 2018,Others,Superb product,,superb product
Best,Vinayak shinde,5.0 out of 5 stars,on 29 September 2018,Others,Best for price,,best price
Very good product,vikram sharma ,5.0 out of 5 stars,on 1 October 2018,Others,Really like it,,really like
Not ok,RAKESH kumar mandal,5.0 out of 5 stars,on 21 September 2018,Others,Not ok,,ok
Good,Manju,5.0 out of 5 stars,on 18 September 2018,Others,User friendly,,user friendly
Handy,Nitish,5.0 out of 5 stars,on 2 October 2018,Battery,Slow charging,,slow charging
Good service,Shaikh shahrukh.,5.0 out of 5 stars,on 19 September 2018,Others,Good product,,good product
Good rear camera,Amazon Customer,3.0 out of 5 stars,on 23 September 2018,Others,Overall good,,overall good
Looking smart,SUJEET KUMAR,4.0 out of 5 stars,on 22 September 2018,Others,Good,,good
Nice,Kamlesh purohit,5.0 out of 5 stars,on 24 September 2018,Others,Nice,,nice
Good,Amazon Customer,4.0 out of 5 stars,on 22 September 2018,Others,Good,,good
Awesome,Vimalnathan.s,5.0 out of 5 stars,on 26 September 2018,Others,Good,,good
Best Phone from Redmi Series,Mohammad Ayyub,5.0 out of 5 stars,on 18 September 2018,Others,Best,,best
super,Kiran ,5.0 out of 5 stars,on 20 September 2018,Others,super,,super
nice for value,AMIT KUMAR,5.0 out of 5 stars,on 24 September 2018,Others,all is fine,,fine
Mi,Mohammed altaf,4.0 out of 5 stars,on 29 September 2018,Others,Nice mobile,,nice mobile
Camera,Arjun ,5.0 out of 5 stars,on 23 September 2018,Others,Nice mobile,,nice mobile
Very good,Mansukh,5.0 out of 5 stars,on 21 September 2018,Others,Yes,,yes
Great,SUNIL YADAV,4.0 out of 5 stars,on 21 September 2018,Others,Best phone,,best phone
Best mobile,Rakesh Baraiya,5.0 out of 5 stars,on 26 September 2018,Others,Too good,,good
Worthy,Sourav Maparu,4.0 out of 5 stars,on 22 September 2018,Others,Good one,,good one
Case back no ritan,Pappu Kumar varma,5.0 out of 5 stars,on 17 September 2018,Others,Case back,,case back
Best Phone,Rishikesh metkar,5.0 out of 5 stars,on 28 September 2018,Others,Mi Best,,mi best
Battery,jagbir singh saini,5.0 out of 5 stars,on 24 September 2018,Others,Its osm,,osm
Fantastic,Amazon Customer,3.0 out of 5 stars,on 22 September 2018,Others,Super,,super
Excellent,Hosain sekh,5.0 out of 5 stars,on 1 October 2018,Others,Good,,good
Good,Najim ,5.0 out of 5 stars,on 30 September 2018,Others,Good,,good
Nice,Amazon Customer,4.0 out of 5 stars,on 26 September 2018,Others,Nice,,nice
Awesome,Shubham,5.0 out of 5 stars,on 19 September 2018,Others,Good,,good
Nice,Saif,5.0 out of 5 stars,on 20 September 2018,Others,Nice,,nice
good,sohan lal,5.0 out of 5 stars,on 21 September 2018,Others,good,,good
Good,Raj kumar,5.0 out of 5 stars,on 20 September 2018,Others,Good,,good
Midil,Deva bhoi,5.0 out of 5 stars,on 24 September 2018,Others,Nice,,nice
Gty,Shakeel ahamad,5.0 out of 5 stars,on 20 September 2018,Others,Jiiy,,jiiy
Good,ayush,5.0 out of 5 stars,on 26 September 2018,Others,Good,,good
Superb,Harsha,5.0 out of 5 stars,on 19 September 2018,Others,Good,,good
Joordaar maja aaa gya,Joginder Singh ahuja,5.0 out of 5 stars,on 19 September 2018,Others,Nice,,nice
res for custmer,Sachin Wadhawan,5.0 out of 5 stars,on 25 September 2018,Others,like,,like
Best display and advance features,Girish Basone,5.0 out of 5 stars,on 18 September 2018,Others,Nice,,nice
Nice phone,Ok,5.0 out of 5 stars,on 22 September 2018,Others,Ok,,ok
Ni,Amazon Customer,1.0 out of 5 stars,on 2 October 2018,Others,No,,
Launch display,pintu sahoo,5.0 out of 5 stars,on 24 September 2018,Others,Ok,,ok
Super,Jawed Ansari,5.0 out of 5 stars,on 26 September 2018,Others,Good,,good
Worst front camera on a Mi device till date.,Ram Rajkishore,1.0 out of 5 stars,on 15 September 2018,Camera,It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.,,worst front camera ever seen mi device disgusting see poor front camera rs 11000 device much disappointed
Look some other options guys.... It's just a crap.,Shubham jaishwal,1.0 out of 5 stars,on 15 September 2018,Display,"Guys, just don't buy Redmi 6 pro for now atleast. Got it delivered yesterday, I have both Gold and Black Variant. Black looks nice. But wait, It's just an unpolished product. The Pinch to fill the video doesn't work in Mi Video app. The left edge remains like this ""|"" and right "")"" even this happens in Youtube. Both apps leave way too much on both sides if I let it to original. Making it a 5 inch screen display. There is No Indian City name in Time Zone, it's shown as GMT+5:30. It automatically detects the time zone as China. Why?? Has to change time, manually!!!! Then, How the heck they say that this is Made in India. While setting up the phone, the Limitless theme has Icons written in chinese. The camera app is inconsistent. The so called AI doesn't seem to be going well with SD625. My friend has RN5 pro. I think they both have same app. But his camera shows icon within screen top as if its going to shoot it with Flash or HDR. But, no this is just a crap..

So, a 5.84 screen display is just a waste if I cann't watch video to its limit. What's the purpose served by notch then and what am I supposed to do with that 5.84 inch screen???? No more notification icons in the notification bar, No more connection speed and battery percentage too, until you drop that notification panel. Stupid MI !!!!",,guys buy redmi 6 pro atleast got delivered yesterday gold black variant black looks nice wait unpolished product pinch fill video work mi video app left edge remains like right even happens youtube apps leave way much sides let original making 5 inch screen display indian city name time zone shown gmt 5 30 automatically detects time zone china change time manually heck say made india setting phone limitless theme icons written chinese camera app inconsistent called ai seem going well sd625 friend rn5 pro think app camera shows icon within screen top going shoot flash hdr crap 5 84 screen display waste cann watch video limit purpose served notch supposed 5 84 inch screen notification icons notification bar connection speed battery percentage drop notification panel stupid mi
#Horrible experience of Redmi 6pro - Readon to know more##,Bhaskar Shanmugam,1.0 out of 5 stars,on 17 September 2018,Camera,"Please don't buy!!

Horrible phone from Xiaomi!!

The phone is just for people who like showing off the new iPhone notch design. The phone uses an outdated processor and lags terrible in term of performance. When we use more than 4apps at a time, the phone will get hanged and you will be forced to restart the phone. Watching videos for more than 20mins the phone gets extrmely heated and you will have to put it to stanby fir a while before resarting the use of the phone. Very bad multi-tasking. The build quality is okay, but not as good as other budget phone. A flat drop on the front screen side if hit hardly will crack the screen. The front camera is extremely poor and has been downgraded and doesn't produce even a decent quality picture. Selfie lovers, please don't even buy this phone you will get a heart ache after looking at your pix. The rear camera picture quality is average and is very unlike of xiaomi.

On the other side, the basic things like the output from the speaker phone and and the earphone are extremely poor and distorted...

The only con is a decent screen, however that is contributed by low quality video while played in amazon or netflix..

Had complained to Amazon on the above low quality issues, unfortunately Amazon is not willing to listen, they are saying technically the phone is working and hence it can't taken back.. Unfortunately, in this case Amazon has put its sellers over it buyers who are their bread and butter. Hope Amazon listens to my complaint here and takes measures to improve their service... Just to put things into perspective, an average 6-7k phone is sold at an extremely abnoxiously at a high price of 11k. You can find many better phone at this high price. Please stop buying this phone. Thanks for reading. Extremely sadened on buying this phone...",10 people found this helpful,please buy horrible phone xiaomi phone people like showing new iphone notch design phone uses outdated processor lags terrible term performance use 4apps time phone get hanged forced restart phone watching videos 20mins phone gets extrmely heated put stanby fir resarting use phone bad multi tasking build quality okay good budget phone flat drop front screen side hit hardly crack screen front camera extremely poor downgraded produce even decent quality picture selfie lovers please even buy phone get heart ache looking pix rear camera picture quality average unlike xiaomi side basic things like output speaker phone earphone extremely poor distorted con decent screen however contributed low quality video played amazon netflix complained amazon low quality issues unfortunately amazon willing listen saying technically phone working hence taken back unfortunately case amazon put sellers buyers bread butter hope amazon listens complaint takes measures improve service put things perspective average 6 7k phone sold extremely abnoxiously high price 11k find many better phone high price please stop buying phone thanks reading extremely sadened buying phone
Got a defective one and requested for a replacement,Anoopcbose,1.0 out of 5 stars,on 22 September 2018,Display,"Phone is really nice and good looking.
I think I got a defective one. Because there is a blue colour appears on the side of the screen. You can see it on the image shown below. I don't know I'm the one who facing this or is it a common problem. Plz let me know if you're facing the same. Also there is some touch issues when we using keyboard for typing. The typing is not smooth and it lag a lot. But the problem appears only on keyboard. I don't know wether it's a physical problem or a software problem. I wish the replacement phone will don't have these problems. Dear MI team you should consider the blue colour problem on resmi 6 pro display. It may affect your smartphone marketing. Dear MI Please make quality product as shows in your TV Advertising. I'm waiting to get the replacement. Amazon lag in replacement policy without a hand to hand replacement. Hate to purchase from Amazon", ,phone really nice good looking think got defective one blue colour appears side screen see image shown know one facing common problem plz let know facing also touch issues using keyboard typing typing smooth lag lot problem appears keyboard know wether physical problem software problem wish replacement phone problems dear mi team consider blue colour problem resmi 6 pro display may affect smartphone marketing dear mi please make quality product shows tv advertising waiting get replacement amazon lag replacement policy without hand hand replacement hate purchase amazon
cant connect to camera,Desh Deepak APS Chauhan,3.0 out of 5 stars,on 17 September 2018,Camera,"good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera!
Far better than asus zenfone max pro m1.
Now feeling the Sony camera quality.
Front camera is wow (5mp) still taking better than 13mp pics
I am using this phone as a pro photographer now
Wait for one month and you will get 1000/- off on it.
Thanks amazon
Thanks Mi India.", ,good rear camera bad front camera software problem cant connect camera error comes startup camera far better asus zenfone max pro m1 feeling sony camera quality front camera wow 5mp still taking better 13mp pics using phone pro photographer wait one month get 1000 thanks amazon thanks mi india
Worst Camera,Pawan Dwivedee ,2.0 out of 5 stars,on 18 September 2018,Camera,"Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don't buy this phone.",10 people found this helpful,front camera phone like vga camera noisy effect recommend please buy phone
This mobile is defective,Anand harsh,1.0 out of 5 stars,on 18 September 2018,Display,"I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full",8 people found this helpful,say product defective camera working proper speed slow company refunding money amazon customers care representative behavior bad option return display amazon company app return product request customers care full
Camera not good,rohan sulgekar,1.0 out of 5 stars,on 17 September 2018,Others,Not good photo crirati,11 people found this helpful,good photo crirati
Not worth the money paid. Worst camera & screen size,Sreenath Bettanna,1.0 out of 5 stars,on 17 September 2018,Camera,Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It's a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.,5 people found this helpful,camera worst considering price phone front camera worst ordinary mobiles processor much fast 2 ghz speed mobiles redmi notch namesake size sake big let bought phone considering notch option redmi disappointed redmi started thinking india dump yard redmi y2 better option
UNBOXING AND CAMERA SHOTS!,TECHBORED! Himanshu Chatra,5.0 out of 5 stars,on 22 September 2018,Display,"Hey guys this is TECHBORED! and this is unboxing and also will adding some camera shots.
-----------------------
IN THE BOX
-----------------------
1. Manuals with warranty information.
2. Charging cable.
3. 5V 2A power adapter.
4. Transparent TPU case.
5. Redmi 6 Pro.
----------
DESIGN
----------
1. The transparent case fits well and is a perfect fit. Gives nice feel in hands.
2. It comes with a notch that is small and I really liked it, At least Xiaomi has tried to cut out the bezels at this budget segment.
3. It sports a FULL HD + display with that 19:9 aspect ratio.
4. On the top of the phone there is this infrared sensor secondary noise cancellation microphone and wow there is this 3.5mm headphone jack. Always happy to see this port.
5. Now moving to the button than there is this micro USB port situated with microphone and the speaker that is loud but decent sounding speaker.
6. Redmi 6 Pro body is made up of both metal and plastic. So this is only where metal is used but on the top bottom and on the sides it is plastic. Also the sim tray is made up of plastic. Buttons are made up of metal thats nice and gives very nice feedback.
----------------------------
DUAL 4G STANDBY
----------------------------
There is DUAL SIM with dual 4G standby so you can use both sims on 4G at same time. And here is a
good thing that I liked about this and it is that it has dedicated Micro SD card slot.
---------------------------
FACE UNLOCK
---------------------------
There is also the finger print sensor that is fast enough to unlock and it also come with this face unlock that is pretty fast and I think it is very much secure. At least it will not be unlocked with your pictures.
-----------------------
CAMERA SETUP
-----------------------
1. The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as on Redmi Note 5 Pro. So it has 12Mp with 5mp dual camera setup with aperture of 2.2 and the single LED flash in the middle. Just now I cannot tell in detail that how how camera performs but I have included some shots that are taken on Redmi 6 Pro and I think they are nice, decent and are almost the the same as on Redmi Note 5 Pro.
2. This camera setup can record upto 1080p videos at 30fps and it supports EIS and the videos are not much shaky and EIS performs well. Where as on the front is 5MP with aperture of 2.0 camera and its decent.
-------------------
HARDWARE
-------------------
1. So it is powered with the same old Snaprdragon 625 and I think think that it is good for the budget smartphones for now and it performs well on this smartphone.
2. Redmi 6 Pro is backed up with 4000mAh battery that is great.
3. Running on Android 8.1 Oreo and on the top of that there is custom MIUI 9. It will soon get a stable update of MIUI10.
4. So the Redmi 6 pro comes in 3GB RAM with 32GB internal mermory and 4GB RAM with 64 GB internal memory variants.", ,hey guys techbored unboxing also adding camera shots box 1 manuals warranty information 2 charging cable 3 5v 2a power adapter 4 transparent tpu case 5 redmi 6 pro design 1 transparent case fits well perfect fit gives nice feel hands 2 comes notch small really liked least xiaomi tried cut bezels budget segment 3 sports full hd display 19 9 aspect ratio 4 top phone infrared sensor secondary noise cancellation microphone wow 3 5mm headphone jack always happy see port 5 moving button micro usb port situated microphone speaker loud decent sounding speaker 6 redmi 6 pro body made metal plastic metal used top bottom sides plastic also sim tray made plastic buttons made metal thats nice gives nice feedback dual 4g standby dual sim dual 4g standby use sims 4g time good thing liked dedicated micro sd card slot face unlock also finger print sensor fast enough unlock also come face unlock pretty fast think much secure least unlocked pictures camera setup 1 best thing xiaomi put redmi 6 pro camera setup redmi note 5 pro 12mp 5mp dual camera setup aperture 2 2 single led flash middle tell detail camera performs included shots taken redmi 6 pro think nice decent almost redmi note 5 pro 2 camera setup record upto 1080p videos 30fps supports eis videos much shaky eis performs well front 5mp aperture 2 0 camera decent hardware 1 powered old snaprdragon 625 think think good budget smartphones performs well smartphone 2 redmi 6 pro backed 4000mah battery great 3 running android 8 1 oreo top custom miui 9 soon get stable update miui10 4 redmi 6 pro comes 3gb ram 32gb internal mermory 4gb ram 64 gb internal memory variants
Battery,Pardeep sharma,5.0 out of 5 stars,on 29 September 2018,Battery,NYC camera and battery backup, ,nyc camera battery backup
This Time Mi cheats..,aanik azad,1.0 out of 5 stars,on 25 September 2018,Camera,A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs.., ,worst mobile big cost paid 11k rs many best mobiles present every company disappointing thing front camera today selfie days dirty disappointing front camra big loss rs
